INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	STRING	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
10100009	1	1	0	9	0	445	1	-1	-1	TØ kim ðao	90	-1	Là loÕi binh khí ðßþc rèn t× TØ kim thÕch ðã qua tôi luy®n, tinh xäo vô cùng.	9950	7960	225	3	0	-1	-1	Broadsword3_4	Ðao búa	-1	0	0	799	799	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	0	0	0	0	-1	0	0	0	-1	-1
10100010	1	1	0	10	0	452	1	-1	-1	Ch¤n thiên phü	100	-1	Khi t¤n công, rung chuy¬n ð¤t tr¶i.	16000	12800	237	3	0	-1	-1	Broadsword3_9	Ðao búa	-1	0	0	884	884	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	0	0	0	0	-1	0	0	0	-1	-1
10100011	1	1	0	11	0	410	3	-1	-1	Kh± lñc träm sài ðao	1	-1	Khi c¥m thanh ðao này lên có th¬ s¨ khiªn các hÕ biªn thành siêu c¤p kh± lñc, còn nghî ngþi gì næa, hãy chém ði!	10000	8000	255	3	0	-1	-1	Broadsword3_10	Ðao búa	-1	0	1	10000	10000	-1	-1	10000	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	9	100	7	7	0	0	-1	0	0	0	-1	-1
10100012	1	1	0	12	0	652	1	-1	-1	Ô mã phü	110	-1	Trên thân phü có kh¡c vån tñ tinh mÛ, và h¡c kim bì hoa ngân phiªn.	19360	15488	255	3	0	-1	-1	Broadsword4_13	Ðao búa	-1	0	0	969	969	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	0	0	0	0	-1	0	0	0	-1	-1
10100013	1	1	0	13	0	653	1	-1	-1	Khäm kim minh ð¥u chuý	120	-1	Bí ngân chi thiªt, 2 bên ð«u có hoa khäm løc giác kim t½, và có danh vån kim tñ.	23040	18432	255	3	0	-1	-1	Broadsword4_14	Ðao búa	-1	0	0	1054	1054	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	0	0	0	0	-1	0	0	0	-1	-1
10100014	1	1	0	14	0	410	1	-1	-1	Ðao Ph± c¤p 130	130	-1	Ðao Ph± c¤p 130	27040	21632	255	3	0	-1	-1	Broadsword4_15	Ðao búa	-1	0	0	1139	1139	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	0	0	0	0	-1	0	0	0	-1	-1
10100015	1	1	0	15	0	410	1	-1	-1	Ðao Ph± c¤p 140	140	-1	Ðao Ph± c¤p 140	31360	25088	255	3	0	-1	-1	Broadsword4_16	Ðao búa	-1	0	0	1224	1224	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	0	0	0	0	-1	0	0	0	-1	-1
10100016	1	1	0	16	0	410	1	-1	-1	Ðao Ph± c¤p 150	150	-1	Ðao Ph± c¤p 150	36000	28800	255	3	0	-1	-1	Broadsword4_17	Ðao búa	-1	0	0	1310	1310	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	0	0	0	0	-1	0	0	0	-1	-1
10100021	1	1	0	21	0	113	1	-1	-1	Nhi®m vø tÕm th¶i chiªm døng	100	-1	Nhi®m vø tÕm th¶i chiªm døng	16000	12800	237	3	0	-1	-1	Spear1_11	Ðao búa	-1	0	0	884	884	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	0	0	0	0	-1	0	0	0	-1	-1
10100031	1	1	0	31	0	362	1	-1	-1	C¥n câu cá	10	-1	C¥n câu cá s½ c¤p	180	144	125	3	0	-1	-1	MenpaiLiveSkill_13	Công cø	-1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	0	0	0	0	-1	0	0	0	-1	-1
10100032	1	1	0	32	0	362	2	-1	-1	Thái Công Ðiªu	10	-1	V§t phöng chª c¥n câu mà Khß½ng TØ Nha sØ døng.	5000	4000	125	3	0	-1	-1	OtherTools2_16	Công cø	-1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	0	0	0	0	-1	0	0	0	-1	-1
10100100	1	1	0	100	0	410	1	-1	-1	ÐÕi träm ðao	1	-1	Vû khí cüa tân thü, không có giá tr¸ gì.#r#c00FF00 („n phím phäi ð¬ trang b¸) 	20	1	114	3	0	-1	-1	Broadsword1_1	Thß½ng t¥n	-1	0	0	75	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	0	0	0	0	-1	0	0	0	-1	-1
10101000	1	1	1	0	0	365	1	-1	-1	Ði¬m cß½ng thß½ng	1	-1	Trß¶ng Thß½ng Bình Thß¶ng, chª tÕo b¢ng thép nguyên ch¤t.#r#c00FF00(Nh¤n chuµt phäi ð¬ trang b¸)	20	16	114	3	0	-1	-1	Spear1_1	Thß½ng t¥n	-1	0	0	75	75	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	0	0	0	0	-1	0	0	0	-1	-1
10101001	1	1	1	1	0	365	1	-1	-1	Lßþng ngân thß½ng	10	-1	Ð¥u thß½ng có màu bÕc, chuôi dài, có lßÞi, là binh khí thích sát có mûi nh÷n có th¬ ðâm thÆng.	180	144	125	3	0	-1	-1	Spear1_1	Thß½ng t¥n	-1	0	0	117	117	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	0	0	0	0	-1	0	0	0	-1	-1
10101002	1	1	1	2	0	369	1	-1	-1	NhÕn linh thß½ng	20	-1	Ð¥u thß½ng ðßþc làm b¢ng thép, gi¯ng nhß hình dáng cüa Song câu liên thß½ng. Mãoi thß½ng có hình dáng h½i d©p, hình dáng gi¯ng nhß nhÕn linh.	540	432	137	3	0	-1	-1	Spear1_5	Thß½ng t¥n	-1	0	0	202	202	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	0	0	0	0	-1	0	0	0	-1	-1
10101003	1	1	1	3	0	374	1	-1	-1	Ngân xà thß½ng	30	-1	Toàn bµ ðßþc chª tÕo t× tçn thiªt, cán mâu dài 1 trßþng, ð¥u mâu dài tám t¤c, hai lßÞi s¡c nh÷n, hình dáng làm gi¯ng du xà, vì v§y m¾i có tên nhß v§y.	1150	920	150	3	0	-1	-1	Spear1_10	Thß½ng t¥n	-1	0	0	287	287	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	0	0	0	0	-1	0	0	0	-1	-1
10101004	1	1	1	4	0	378	1	-1	-1	Lang nha kích	40	-1	Mµt ð¥u cüa cán kích có trang b¸ 1 mûi thß½ng nh÷n kim loÕi, 1 bên có lßÞi s¡c nh÷n có hình Lang nha, liên kªt v¾i mûi thß½ng thông qua 2 miªng kªt n¯i nhö, có th¬ ðâm có th¬ chém.	1780	1424	162	3	0	-1	-1	Spear1_14	Thß½ng t¥n	-1	0	0	373	373	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	0	0	0	0	-1	0	0	0	-1	-1
10101005	1	1	1	5	0	382	1	-1	-1	Höa tiên thß½ng	50	-1	Toàn thân có màu kim h°ng, ð¥u thß½ng v×a nhö v×a nh÷n, gi¯ng nhß ng÷n lØa ðang nhäy múa.	2700	2160	175	3	0	-1	-1	Spear2_2	Thß½ng t¥n	-1	0	0	458	458	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	0	0	0	0	-1	0	0	0	-1	-1
10101006	1	1	1	6	0	386	1	-1	-1	Phong lôi thß½ng	60	-1	Thß½ng dài 2 trßþng, ð¥u thß½ng thô và h½i tròn, có th¬ ðâm có th¬ v², lþi thª chª ð¸ch.	3850	3080	187	3	0	-1	-1	Spear2_6	Thß½ng t¥n	-1	0	0	543	543	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	0	0	0	0	-1	0	0	0	-1	-1
10101007	1	1	1	7	0	391	1	-1	-1	DÕ xoa mâu	70	-1	Trên thân cüa cây thß½ng có vß½ng tßþng cüa DÕ Xoa, âm u ðáng sþ, ð¥u thß½ng b©p và b¢ng, sau khi ðâm xuyên qua ð¸ch máu s¨ chäy ra, là vû khí s¡c bén ð¬ giªt ngß¶i.	5570	4456	200	3	0	-1	-1	Spear2_11	Thß½ng t¥n	-1	0	0	628	628	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	0	0	0	0	-1	0	0	0	-1	-1
10101008	1	1	1	8	0	396	1	-1	-1	Tam kim thß½ng	80	-1	Thß½ng chia làm 3 mûi nh÷n, · giæa có khäm h°ng ng÷c, chª tÕo tinh xäo, lßÞi thß½ng s¡c bén vô cùng, giá tr¸ liên thành.	7450	5960	212	3	0	-1	-1	Spear2_16	Thß½ng t¥n	-1	0	0	713	713	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	0	0	0	0	-1	0	0	0	-1	-1
